"date","logP","year","month","ci","lcl","tInMonth","logQ"
1998-10-01,-1.6094379124341,1998,10,0,-2.30258509299405,0,6.65286302935335
1998-11-01,-2.30258509299405,1998,11,0,-2.30258509299405,1,6.58063913728495
1998-12-01,-2.99573227355399,1998,12,-1,-2.30258509299405,2,6.43294009273918
1999-01-01,-2.99573227355399,1999,1,-1,-2.30258509299405,3,5.99146454710798
1999-02-01,-0.510825623765991,1999,2,0,-2.30258509299405,4,6.39692965521615
1999-03-01,-2.30258509299405,1999,3,0,-2.30258509299405,5,6.30991827822652
1999-04-01,-1.6094379124341,1999,4,0,-2.30258509299405,6,7.59085212368858
1999-05-01,-1.6094379124341,1999,5,0,-2.30258509299405,7,7.22256601882217
1999-06-01,-0.693147180559945,1999,6,0,-2.30258509299405,8,7.57044325205737
1999-07-01,-1.20397280432594,1999,7,0,-2.30258509299405,9,7.20785987143248
1999-08-01,-1.6094379124341,1999,8,0,-2.30258509299405,10,6.86066367144829
1999-09-01,-2.99573227355399,1999,9,-1,-2.30258509299405,11,5.57972982598622
1999-10-01,-2.99573227355399,1999,10,-1,-2.30258509299405,12,4.90527477843843
1999-11-01,-2.30258509299405,1999,11,0,-2.30258509299405,13,4.64439089914137
1999-12-01,-2.99573227355399,1999,12,-1,-2.30258509299405,14,4.77068462446567
2000-01-01,-2.99573227355399,2000,1,-1,-2.30258509299405,15,4.86753445045558
2000-02-01,-2.30258509299405,2000,2,0,-2.30258509299405,16,4.24849524204936
2000-03-01,-2.99573227355399,2000,3,-1,-2.30258509299405,17,5.29831736654804
2000-04-01,-1.20397280432594,2000,4,0,-2.30258509299405,18,5.59471137960184
2000-05-01,-1.6094379124341,2000,5,0,-2.30258509299405,19,5.29831736654804
2000-06-01,-0.916290731874155,2000,6,0,-2.30258509299405,20,7.31986492980897
2000-07-01,-1.20397280432594,2000,7,0,-2.30258509299405,21,8.03915739047324
2000-08-01,-1.6094379124341,2000,8,0,-2.30258509299405,22,5.51745289646471
2000-09-01,-2.99573227355399,2000,9,-1,-2.30258509299405,23,4.56434819146784
2000-10-01,-2.99573227355399,2000,10,-1,-2.30258509299405,24,4.30406509320417
2000-11-01,-2.99573227355399,2000,11,-1,-2.30258509299405,25,5.33753807970132
2000-12-01,-2.99573227355399,2000,12,-1,-2.30258509299405,26,4.86753445045558
2001-01-01,-2.99573227355399,2001,1,-1,-2.30258509299405,27,4.9416424226093
2001-02-01,-2.99573227355399,2001,2,-1,-2.30258509299405,28,4.60517018598809
2001-03-01,-2.99573227355399,2001,3,-1,-2.30258509299405,29,5.07517381523383
2001-04-01,-1.20397280432594,2001,4,0,-2.30258509299405,30,8.51919119407891
2001-05-01,-1.20397280432594,2001,5,0,-2.30258509299405,31,7.46164039220858
2001-06-01,-1.6094379124341,2001,6,0,-2.30258509299405,32,7.61579107203583
2001-07-01,-1.6094379124341,2001,7,0,-2.30258509299405,33,6.82654522355659
2001-08-01,-2.99573227355399,2001,8,-1,-2.30258509299405,34,6.55677835615804
2001-09-01,-3.68887945411394,2001,9,-1,-2.99573227355399,35,4.80402104473326
2001-10-01,-2.20727491318972,2001,10,0,-2.99573227355399,36,4.9416424226093
2001-11-01,-3.68887945411394,2001,11,-1,-2.99573227355399,37,5.21493575760899
2001-12-01,-2.04022082852655,2001,12,0,-2.99573227355399,38,5.57972982598622
2002-01-01,-3.68887945411394,2002,1,-1,-2.99573227355399,39,4.89783979995091
2002-02-01,-2.81341071676004,2002,2,0,-2.99573227355399,40,5.14166355650266
2002-03-01,-2.30258509299405,2002,3,0,-2.99573227355399,41,5.52146091786225
2002-04-01,-2.81341071676004,2002,4,0,-2.99573227355399,42,5.26785815906333
2002-05-01,-1.38629436111989,2002,5,0,-2.99573227355399,43,6.97541392745595
2002-06-01,-2.04022082852655,2002,6,0,-2.99573227355399,44,6.31535800152233
2002-07-01,-1.51412773262978,2002,7,0,-2.99573227355399,45,5.75574221358691
2002-08-01,-1.34707364796661,2002,8,0,-2.99573227355399,46,6.02344759296103
2002-09-01,-2.40794560865187,2002,9,0,-2.99573227355399,47,5.33271879326537
2002-10-01,-2.30258509299405,2002,10,0,-2.99573227355399,48,5.60947179518496
2002-11-01,-3.68887945411394,2002,11,-1,-2.99573227355399,49,5.78074351579233
2002-12-01,-2.40794560865187,2002,12,0,-2.99573227355399,50,5.29330482472449
2003-01-01,-3.68887945411394,2003,1,-1,-2.99573227355399,51,5.03043792139244
2003-02-01,-3.68887945411394,2003,2,-1,-2.99573227355399,52,4.53259949315326
