c1,t,ceil2,ceil3
0,1,16,16
0,2,16,16
0,3,16,16
0,4,16,16
0,5,16,16
0,6,17,17
0,7,19,19
0,8,17,17
0,9,15,15
0,10,15,15
0,11,17,17
0,12,17,17
0,13,16,16
0,14,15,15
0,15,15,15
0,16,15,15
1,17,120,
0,18,18,18
0,19,20,20
1,20,120,
1,21,120,
1,22,120,
0,23,100,100
0,24,70,70
0,25,40,40
0,26,38,38
0,27,17,17
0,28,23,23
0,29,23,23
0,30,23,23
0,31,20,20
0,32,16,16
0,33,35,35
0,34,40,40
0,35,37,37
0,36,37,37
0,37,37,37
0,38,20,20
0,39,28,28
0,40,11,11
0,41,12,12
0,42,20,20
0,43,17,17
0,44,19,19
0,45,12,12
0,46,25,25
1,47,120,
0,48,35,35
0,49,35,35
0,50,35,35
0,51,20,20
1,52,120,
0,53,70,70
1,54,120,
1,55,120,
1,56,120,
1,57,120,
1,58,120,
1,59,120,
1,60,120,
1,61,120,
1,62,120,
1,63,120,
1,64,120,
1,65,120,
1,66,120,
1,67,120,
1,68,120,
1,69,120,
1,70,120,
1,71,120,
1,72,120,
1,73,120,
1,74,120,
1,75,120,
1,76,120,
1,77,120,
1,78,120,
1,79,120,
1,80,120,
0,81,120,120
0,82,120,120
1,83,120,
1,84,120,
0,85,90,90
0,86,80,80
0,87,70,70
0,88,65,65
0,89,60,60
0,90,60,60
0,91,60,60
0,92,65,65
0,93,50,50
0,94,45,45
0,95,45,45
0,96,40,40
0,97,100,100
0,98,40,40
0,99,32,32
0,100,32,32
0,101,70,70
0,102,32,32
0,103,32,32
0,104,28,28
0,105,28,28
0,106,23,23
0,107,19,19
0,108,15,15
0,109,7,7
0,110,19,19
0,111,20,20
0,112,23,23
0,113,26,26
0,114,30,30
0,115,120,120
0,116,45,45
0,117,48,48
0,118,25,25
0,119,23,23
0,120,21,21
0,121,17,17
0,122,8,8
0,123,8,8
0,124,38,38
0,125,60,60
0,126,38,38
0,127,38,38
0,128,7,7
0,129,6,6
0,130,4,4
0,131,3,3
0,132,3,3
0,133,4,4
0,134,9,9
0,135,10,10
0,136,10,10
0,137,8,8
0,138,6,6
0,139,10,10
0,140,10,10
0,141,10,10
0,142,8,8
0,143,8,8
0,144,8,8
0,145,6,6
1,146,120,
0,147,4,4
0,148,12,12
0,149,70,70
0,150,2,2
0,151,2,2
0,152,2,2
0,153,2,2
0,154,3,3
